movie_name,Inflation_Success_Failure_Domestic,boxofficemojo_Success_Failure_Domestic,production_year,production_budget,production_budget_adjusted,domestic_box_office,inflation_domestic_adjusted,boxofficemojo_domestic_adjusted,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,popularity,production_companies,production_countries,vote_average,vote_count,actor1_name,actor1_gender,actor2_name,actor2_gender,actor3_name,actor3_gender,actor4_name,actor4_gender,actor5_name,actor5_gender,actor_number,director_name,director_gender,director_number,producer_name,producer_number,screeplay_name,editor_name
The Good German,0,0,2006,32000000,32273517,1308696,1582213,1792214,5369337,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,105,0.96249,Warner Bros.,United States of America,5.9,83,George Clooney,2,Cate Blanchett,1,Tobey Maguire,2,Tony Curran,2,Leland Orser,2,14,Steven Soderbergh,2,1,none,0,Paul Attanasio,Steven Soderbergh
The Fountain,0,0,2006,35000000,37120098,10144010,12264108,13891873,5317628,PG-13,Science Fiction,Original Screenplay,Live Action,Drama,0,96,2.148544,Regency Enterprises,United States of America,6.8,764,Hugh Jackman,2,Rachel Weisz,1,Ellen Burstyn,1,Mark Margolis,2,Stephen McHattie,2,14,Darren Aronofsky,2,1,Arnon Milchan,2,Darren Aronofsky,Jay Rabinowitz
Letters from Iwo Jima,0,0,2006,13000000,15875021,13756082,16631103,18838482,54111916,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,101,1.63429,DreamWorks SKG,Japan,7.2,510,Ken Watanabe,2,Kazunari Ninomiya,0,Tsuyoshi Ihara,2,Ryo Kase,2,Shidou Nakamura,2,18,Clint Eastwood,2,1,Clint Eastwood,4,Paul Haggis,Joel Cox
Notes on a Scandal,0,0,2006,27500000,31159615,17510118,21169733,23979505,33068293,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,92,1.031451,Fox Searchlight Pictures,United Kingdom,6.9,220,Judi Dench,1,Cate Blanchett,1,Bill Nighy,2,Juno Temple,1,Max Lewis,2,23,Richard Eyre,2,1,Robert Fox,2,Patrick Marber,John Bloom
The Simpsons Movie,1,1,2007,72500000,104914897,183135014,215549911,238767598,343936008,PG-13,Contemporary Fiction,Based on TV,Digital Animation,Adventure,0,86,4.864034,Gracie Films,United States of America,6.9,2043,Dan Castellaneta,2,Julie Kavner,1,Nancy Cartwright,1,Yeardley Smith,1,Hank Azaria,2,21,David Silverman,2,1,James L. Brooks,11,Matt Groening,John Carnochan
Lucky Number Slevin,0,0,2006,27000000,31701552,22495466,27197018,30806768,33000000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,110,2.870428,The Weinstein Company,Germany,7.4,1227,Josh Hartnett,2,Bruce Willis,2,Lucy Liu,1,Morgan Freeman,2,Ben Kingsley,2,17,Paul McGuigan,0,1,Christopher Eberts,7,Jason Smilovic,Andrew Hulme
Crank,0,1,2006,12000000,17818227,27838408,33656635,38123743,16086515,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,88,3.791982,Lions Gate Films,United States of America,6.6,1080,Jason Statham,2,Amy Smart,1,Jose Pablo Cantillo,0,Efren Ramirez,2,Dwight Yoakam,2,19,Brian Taylor,2,2,Michael Davis,4,Brian Taylor,Brian Berdan
Snakes on a Plane,0,0,2006,33000000,40110350,34020814,41131164,46590336,28000000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106,1.917881,New Line Cinema,United States of America,5.1,463,Samuel L. Jackson,2,Julianna Margulies,1,Kenan Thompson,2,Nathan Phillips,2,Rachel Blanchard,1,19,David R. Ellis,2,1,none,0,Sebastian Gutierrez,Howard E. Smith
Babel,0,0,2006,20000000,27169293,34302837,41472130,46976557,97818375,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,143,2.824886,Paramount Vantage,France,6.9,977,Brad Pitt,2,Cate Blanchett,1,Gael GarcÃ­a Bernal,2,Rinko Kikuchi,0,Adriana Barraza,1,50,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,2,1,Steve Golin,5,Guillermo Arriaga,Stephen Mirrione
16 Blocks,0,0,2006,45000000,52711084,36895141,44606225,50526628,28700000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,105,2.815345,Donners' Company,United States of America,6.2,616,Bruce Willis,2,Yasiin Bey,2,David Morse,2,Jenna Stern,0,David Zayas,2,21,Richard Donner,2,1,Randall Emmett,4,Richard Wenk,Steve Mirkovich
