movie_name,production_year,production_budget,domestic_box_office,international_box_office,Success_Failure_All,Success_Failure_Domestic,rating,creative_type,source,production_method,genre,sequel,running_time
16 Blocks,2006,45000000,36895141,28700000,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,105
A Good Year,2006,35000000,7459300,34604805,0,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,118
A Prairie Home Companion,2006,10000000,20342852,6373339,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,105
A Scanner Darkly,2006,20000000,5501616,1903468,0,0,R,Science Fiction,Based on Fiction Book/Short Story,Rotoscoping,Thriller/Suspense,0,100
An American Haunting,2006,14000000,16298046,14145231,1,0,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0,83
Apocalypto,2006,40000000,50866635,70165637,1,0,R,Historical Fiction,Original Screenplay,Live Action,Adventure,0,138
Arthur et les Minimoys,2006,80000000,15132763,98192980,0,0,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,0,94
ATL,2006,17000000,21170563,0,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,107
Babel,2006,20000000,34302837,97818375,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,143
Bandidas,2006,35000000,0,19282590,0,0,PG-13,Historical Fiction,Original Screenplay,Live Action,Western,0,93
Banlieue 13,2006,15000000,1200216,10399687,0,0,R,Science Fiction,Original Screenplay,Live Action,Action,0,84
Basic Instinct 2,2006,70000000,5946136,29471026,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,1,114
Bee Movie,2006,150000000,126631277,160963300,0,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,90
Beerfest,2006,17500000,19185184,974132,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,110
Blood Diamond,2006,100000000,57377916,114000000,0,0,R,Historical Fiction,Original Screenplay,Live Action,Action,0,143
BloodRayne,2006,25000000,2405420,1200000,0,0,R,Fantasy,Based on Game,Live Action,Action,0,92
Bobby,2006,14000000,11242801,9355005,0,0,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,116
Casino Royale,2006,102000000,167365000,427055283,1,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,144
Charlotte's Web,2006,82500000,82985708,61000000,0,0,G,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0,97
Children of Men,2006,76000000,35552383,34292628,0,0,R,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,109
Click,2006,82500000,137355633,100329456,1,0,PG-13,Fantasy,Original Screenplay,Live Action,Comedy,0,106
Crank,2006,12000000,27838408,16086515,1,1,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,88
Deck the Halls,2006,51000000,35093569,11722238,0,0,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,93
Doogal,2006,20000000,7578946,20479706,0,0,G,Kids Fiction,Based on TV,Digital Animation,Adventure,0,83
Dreamgirls,2006,75000000,103365956,52342739,1,0,PG-13,Historical Fiction,Based on Musical or Opera,Live Action,Musical,0,130
Eight Below,2006,40000000,81612565,38843429,1,1,PG,Contemporary Fiction,Remake,Live Action,Adventure,0,120
Employee of the Month,2006,10000000,28444855,9920000,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,108
Failure to Launch,2006,50000000,88715192,39687709,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,97
Firewall,2006,50000000,48751189,34000000,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,105
Flags of Our Fathers,2006,53000000,33602376,30055565,0,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,132
Flicka,2006,15000000,21000147,896220,0,0,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,95
Flushed Away,2006,149000000,64665672,114691454,0,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,85
Flyboys,2006,60000000,13090630,1725749,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,139
Gridiron Gang,2006,30000000,38432823,3025011,0,0,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,126
Happily N'Ever After,2006,47000000,15849032,22074786,0,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,87
Happy Feet,2006,85000000,198000317,187000000,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,108
Hoot,2006,15000000,8117637,107361,0,0,PG,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,91
Ice Age: The Meltdown,2006,75000000,195330621,456568661,1,1,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,91
Inside Man,2006,50000000,88634237,97164028,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,128
Invincible,2006,40000000,57806952,694175,0,0,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,104
Lady in the Water,2006,75000000,42285169,30500000,0,0,PG-13,Fantasy,Original Screenplay,Live Action,Drama,0,110
Last Holiday,2006,45000000,38399961,4943286,0,0,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,112
Letters from Iwo Jima,2006,13000000,13756082,54111916,1,0,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,101
Lucky Number Slevin,2006,27000000,22495466,33000000,1,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,110
Miami Vice,2006,135000000,63478838,100339718,0,0,R,Contemporary Fiction,Based on TV,Live Action,Action,0,132
Miss Potter,2006,30000000,3005605,32885652,0,0,PG,Dramatization,Based on Real Life Events,Live Action,Drama,0,92
Mission: Impossible III,2006,150000000,133501348,264000000,1,0,PG-13,Contemporary Fiction,Based on TV,Live Action,Action,1,126
Monster House,2006,75000000,73661010,67606360,0,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,91
Nacho Libre,2006,32000000,80197993,19098469,1,1,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,90
Nanny McPhee,2006,25000000,47279279,81466299,1,0,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,99
Night at the Museum,2006,110000000,250863268,328583139,1,1,PG,Kids Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,108
Notes on a Scandal,2006,27500000,17510118,33068293,0,0,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,92
One Night with the King,2006,20000000,13395961,329071,0,0,PG,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,123
Open Season,2006,85000000,85105259,106826899,1,0,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,86
Renaissance,2006,18000000,70644,2330769,0,0,R,Science Fiction,Original Screenplay,Digital Animation,Action,0,105
School for Scoundrels,2006,20000000,17807569,0,0,0,PG-13,Contemporary Fiction,Remake,Live Action,Comedy,0,101
She's the Man,2006,25000000,33889159,21390449,1,0,PG-13,Contemporary Fiction,Based on Play,Live Action,Romantic Comedy,0,105
Slither,2006,15250000,7802450,5127893,0,0,R,Science Fiction,Original Screenplay,Live Action,Horror,0,96
Snakes on a Plane,2006,33000000,34020814,28000000,0,0,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106
Step Up,2006,12000000,65328121,45661036,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,103
Stranger Than Fiction,2006,30000000,40435190,13137632,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,105
Superman Returns,2006,232000000,200120000,173965065,0,0,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,0,150
Talladega Nights: The Ballad of Ricky Bobby,2006,73000000,148213377,14657148,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,104
The Ant Bully,2006,45000000,28142535,21468363,0,0,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,89
The Black Dahlia,2006,60000000,22672813,26565712,0,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,121
The Break-Up,2006,52000000,118703275,87024032,1,1,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,106
The Covenant,2006,20000000,23364784,14800000,0,0,PG-13,Contemporary Fiction,Based on Comic/Graphic Novel,Live Action,Thriller/Suspense,0,97
The Da Vinci Code,2006,125000000,217536138,550284321,1,0,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,152
The Departed,2006,90000000,132384315,157276304,1,0,R,Contemporary Fiction,Remake,Live Action,Drama,0,151
The Devil Wears Prada,2006,35000000,124740460,201332695,1,1,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,109
The Fast and the Furious: Tokyo Drift,2006,85000000,62615510,95178695,0,0,PG-13,Contemporary Fiction,Based on Factual Book/Article,Live Action,Action,1,104
The Fountain,2006,35000000,10144010,5317628,0,0,PG-13,Science Fiction,Original Screenplay,Live Action,Drama,0,96
The Good German,2006,32000000,1308696,5369337,0,0,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,105
The Guardian,2006,70000000,55011732,39961808,0,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,139
The Holiday,2006,85000000,63280000,141910324,1,0,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,135
The Illusionist,2006,16500000,39868642,43923420,1,1,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110
The Lake House,2006,40000000,52330111,62500000,1,0,PG,Fantasy,Remake,Live Action,Drama,0,99
The Pink Panther,2006,80000000,82226474,76700000,0,0,PG,Historical Fiction,0,Live Action,Adventure,1,93
The Prestige,2006,40000000,53089891,51317475,1,0,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,0,130
The Pursuit of Happyness,2006,55000000,162586036,144739597,1,1,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,117
The Shaggy Dog,2006,60000000,61123569,26000000,0,0,PG,Fantasy,Remake,Live Action,Comedy,0,98
The Wild,2006,80000000,37384046,61626621,0,0,G,Contemporary Fiction,Original Screenplay,Digital Animation,Adventure,0,82
