movie_name,production_year,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,350k_Movies.budget,350k_Movies.genres,350k_Movies.imdb_id,350k_Movies.original_language,350k_Movies.overview,350k_Movies.popularity,350k_Movies.production_companies,350k_Movies.production_countries,350k_Movies.release_date,350k_Movies.revenue,350k_Movies.runtime,350k_Movies.spoken_languages,350k_Movies.tagline,350k_Movies.vote_average,350k_Movies.vote_count,350k_Movies.actor1_name,350k_Movies.actor1_gender,350k_Movies.actor2_name,350k_Movies.actor2_gender,350k_Movies.actor3_name,350k_Movies.actor3_gender,350k_Movies.actor4_name,350k_Movies.actor4_gender,350k_Movies.actor5_name,350k_Movies.actor5_gender,350k_Movies.director_name,350k_Movies.director_gender,350k_Movies.producer_name,350k_Movies.screeplay_name,350k_Movies.editor_name
Crank,2006,12000000,27838408,16086515,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,88,12000000,Action|Thriller|Crime,tt0479884,en,Professional assassin Chev Chelios learns his rival has injected him with a poison that will kill him if his heart rate drops.,3.791982,Lions Gate Films,United States of America,31/08/2006,42931041,88,English,"There are a thousand ways to raise your adrenaline. Today, Chev Chelios will need every single one.",6.6,1080,Jason Statham,2,Amy Smart,1,Jose Pablo Cantillo,0,Efren Ramirez,2,Dwight Yoakam,2,Brian Taylor,2,Michael Davis,Brian Taylor,Brian Berdan
Letters from Iwo Jima,2006,13000000,13756082,54111916,R,Historical Fiction,Based on Real Life Events,Live Action,Drama,0,101,19000000,Action|Adventure|Drama|War,tt0498380,en,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",1.63429,DreamWorks SKG,Japan,19/12/2006,68673228,141,English,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.,7.2,510,Ken Watanabe,2,Kazunari Ninomiya,0,Tsuyoshi Ihara,2,Ryo Kase,2,Shidou Nakamura,2,Clint Eastwood,2,Clint Eastwood,Paul Haggis,Joel Cox
The Illusionist,2006,16500000,39868642,43923420,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,110,40000000,Fantasy|Drama|Thriller|Romance,tt0443543,en,"With his eye on a lovely aristocrat, a gifted illusionist named Eisenheim uses his powers to win her away from her betrothed, a crowned prince. But Eisenheim's scheme creates tumult within the monarchy and ignites the suspicion of a dogged inspector.",3.621435,Michael London Productions,Czech Republic,18/08/2006,86915017,110,English,Nothing Is What It Seems.,7.1,1506,Edward Norton,2,Jessica Biel,1,Paul Giamatti,2,Rufus Sewell,2,Eddie Marsan,2,Neil Burger,2,Brian Koppelman,Neil Burger,Naomi Geraghty
Babel,2006,20000000,34302837,97818375,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,143,25000000,Drama,tt0449467,en,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.",2.824886,Paramount Vantage,France,8/9/2006,135330182,143,???????,If You Want to be Understood...Listen,6.9,977,Brad Pitt,2,Cate Blanchett,1,Gael GarcÃ­a Bernal,2,Rinko Kikuchi,0,Adriana Barraza,1,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,2,Steve Golin,Guillermo Arriaga,Stephen Mirrione
The Simpsons Movie,2007,72500000,183135014,343936008,PG-13,Contemporary Fiction,Based on TV,Digital Animation,Adventure,0,86,75000000,Animation|Comedy|Family,tt0462538,en,"After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.",4.864034,Gracie Films,United States of America,25/07/2007,527068851,87,English,See our family. And feel better about yours.,6.9,2043,Dan Castellaneta,2,Julie Kavner,1,Nancy Cartwright,1,Yeardley Smith,1,Hank Azaria,2,David Silverman,2,James L. Brooks,Matt Groening,John Carnochan
Lucky Number Slevin,2006,27000000,22495466,33000000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,110,27000000,Drama|Thriller|Crime|Mystery,tt0425210,en,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns.",2.870428,The Weinstein Company,Germany,24/02/2006,56308881,110,English,Wrong Time. Wrong Place. Wrong Number.,7.4,1227,Josh Hartnett,2,Bruce Willis,2,Lucy Liu,1,Morgan Freeman,2,Ben Kingsley,2,Paul McGuigan,0,Christopher Eberts,Jason Smilovic,Andrew Hulme
Notes on a Scandal,2006,27500000,17510118,33068293,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,92,15000000,Drama|Romance,tt0465551,en,"A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her 15-year-old students. However, her intentions with this new ""friend"" also go well beyond platonic friendship.",1.031451,Fox Searchlight Pictures,United Kingdom,25/12/2006,49469904,92,English,One woman's secret is another woman's power. One woman's fear is another woman's weapon. One woman's life is in another woman's hands....,6.9,220,Judi Dench,1,Cate Blanchett,1,Bill Nighy,2,Juno Temple,1,Max Lewis,2,Richard Eyre,2,Robert Fox,Patrick Marber,John Bloom
Stranger Than Fiction,2006,30000000,40435190,13137632,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,105,30000000,Comedy|Drama|Fantasy|Romance,tt0420223,en,"Everybody knows that your life is a story. But what if a story was your life? Harold Crick is your average IRS agent: monotonous, boring, and repetitive. But one day this all changes when Harold begins to hear an author inside his head narrating his life. But when the narration reveals he is going to die, Harold must find the author and convince them to change the ending.",2.816509,Mandate Pictures,United States of America,9/9/2006,53653224,113,English,Harold Crick isn't ready to go. Period.,7.1,674,Will Ferrell,2,Maggie Gyllenhaal,1,Dustin Hoffman,2,Emma Thompson,1,Queen Latifah,1,Marc Forster,2,none,Zach Helm,Matt Chesse
The Good German,2006,32000000,1308696,5369337,R,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,105,32000000,War|Crime|Drama|Mystery|Romance|Thriller,tt0452624,en,An American journalist played by George Clooney arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover played by Cate Blanchett.,0.96249,Warner Bros.,United States of America,8/12/2006,5914908,108,English,"If war is Hell, then what comes after?",5.9,83,George Clooney,2,Cate Blanchett,1,Tobey Maguire,2,Tony Curran,2,Leland Orser,2,Steven Soderbergh,2,none,Paul Attanasio,Steven Soderbergh
Snakes on a Plane,2006,33000000,34020814,28000000,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,106,33000000,Action|Crime|Horror|Thriller,tt0417148,en,"America is on the search for the murderer Eddie Kim. Sean Jones must fly to L.A. to testify in a hearing against Kim. Accompanied by FBI agent Neville Flynn, the flight receives some unexpected visitors.",1.917881,New Line Cinema,United States of America,6/8/2006,62022014,105,English,"At 30,000 feet, snakes aren't the deadliest thing on this plane.",5.1,463,Samuel L. Jackson,2,Julianna Margulies,1,Kenan Thompson,2,Nathan Phillips,2,Rachel Blanchard,1,David R. Ellis,2,none,Sebastian Gutierrez,Howard E. Smith
